id	Biosample.Summary	Biosample	GROUP	SECONDARY	COLOR	category	infoline	age	sex	type	origin	perturb	lifestage	Project2
BSS01153	left renal pelvis male embryo (120 days)	left renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	120	male	tissue			embryonic	Roadmap (Novel)
BSS01482	renal cortex interstitium female embryo (103 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	103	female	tissue			embryonic	Roadmap (Novel)
BSS01483	renal cortex interstitium female embryo (120 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	120	female	tissue			embryonic	Roadmap (Novel)
BSS01484	renal cortex interstitium female embryo (89 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	89	female	tissue			embryonic	Roadmap (Novel)
BSS01485	renal cortex interstitium female embryo (96 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	96	female	tissue			embryonic	Roadmap (Novel)
BSS01486	renal cortex interstitium male embryo (108 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	108	male	tissue			embryonic	Roadmap (Novel)
BSS01487	renal cortex interstitium male embryo (113 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	113	male	tissue			embryonic	Roadmap (Novel)
BSS01488	renal cortex interstitium male embryo (127 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	127	male	tissue			embryonic	Roadmap (Novel)
BSS01489	renal cortex interstitium male embryo (91 day)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	91	male	tissue			embryonic	Roadmap (Novel)
BSS01490	renal cortex interstitium male embryo (97 days)	renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	97	male	tissue			embryonic	Roadmap (Novel)
BSS01493	renal pelvis female embryo (103 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	103	female	tissue			embryonic	Roadmap (Novel)
BSS01494	renal pelvis female embryo (105 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	105	female	tissue			embryonic	Roadmap (Novel)
BSS01495	renal pelvis female embryo (89 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	89	female	tissue			embryonic	Roadmap (Novel)
BSS01496	renal pelvis female embryo (96 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	96	female	tissue			embryonic	Roadmap (Novel)
BSS01497	renal pelvis male embryo (108 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	108	male	tissue			embryonic	Roadmap (Novel)
BSS01498	renal pelvis male embryo (113 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	113	male	tissue			embryonic	Roadmap (Novel)
BSS01499	renal pelvis male embryo (127 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	127	male	tissue			embryonic	Roadmap (Novel)
BSS01500	renal pelvis male embryo (91 day)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	91	male	tissue			embryonic	Roadmap (Novel)
BSS01501	renal pelvis male embryo (97 days)	renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	97	male	tissue			embryonic	Roadmap (Novel)
BSS01509	right kidney female embryo (107 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	107	female	tissue			embryonic	Roadmap (Novel)
BSS01510	right kidney female embryo (117 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	117	female	tissue			embryonic	Roadmap (Novel)
BSS01511	right kidney female embryo (147 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	147	female	tissue			embryonic	Roadmap (Novel)
BSS01512	right kidney female embryo (87 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	87	female	tissue			embryonic	Roadmap (Novel)
BSS01513	right kidney female embryo (98 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	98	female	tissue			embryonic	Roadmap (Novel)
BSS01514	right kidney male embryo (108 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	108	male	tissue			embryonic	Roadmap (Novel)
BSS01515	right kidney male embryo (115 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	115	male	tissue			embryonic	Roadmap (Novel)
BSS01516	right kidney male embryo (87 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	87	male	tissue			embryonic	Roadmap (Novel)
BSS01517	right kidney male embryo (91 day)	right kidney	Kidney		#660000	Tissue	KIDNEY	91	male	tissue			embryonic	ENCODE
BSS01518	right kidney male embryo (96 days)	right kidney	Kidney		#660000	Tissue	KIDNEY	96	male	tissue			embryonic	Roadmap (Novel)
BSS01531	right renal cortex interstitium male embryo (105 days)	right renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	105	male	tissue			embryonic	Roadmap (Novel)
BSS01532	right renal cortex interstitium male embryo (120 days)	right renal cortex interstitium	Kidney		#660000	Tissue	RENAL CORTEX INTERSTITIUM	120	male	tissue			embryonic	Roadmap (Novel)
BSS01533	right renal pelvis male embryo (105 days)	right renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	105	male	tissue			embryonic	Roadmap (Novel)
BSS01534	right renal pelvis male embryo (120 days)	right renal pelvis	Kidney		#660000	Tissue	RENAL PELVIS	120	male	tissue			embryonic	Roadmap (Novel)
BSS01159	liver female adult (25 years)	liver	Liver		#5151E7	Tissue	LIVER	25	female	tissue			adult	Roadmap 2015
BSS01168	liver male adult (31 year)	liver	Liver		#5151E7	Tissue	LIVER	31	male	tissue			adult	Roadmap 2015
BSS01519	right lobe of liver female adult (53 years)	right lobe of liver	Liver		#5151E7	Tissue	LIVER	53	female	tissue			adult	ENCODE
BSS01169	liver male adult (32 years)	liver	Liver		#5151E7	Tissue	LIVER	32	male	tissue			adult	Roadmap (Novel)
BSS01170	liver male adult (78 years)	liver	Liver		#5151E7	Tissue	LIVER	78	male	tissue			adult	Roadmap 2015
BSS00511	liver male adult (32 years)	liver	Liver		#5151E7	Tissue	LIVER	32	male	tissue			adult	Roadmap (Novel)
BSS00553	hepatic stellate cell female adult (59 years)	hepatic stellate cell	Liver		#5151E7	Tissue	HEPATIC STELLATE CELL	59	female	primary cell			adult	ENCODE
BSS00554	hepatocyte	hepatocyte	Liver		#5151E7	Tissue	HEPATOCYTE	unknown	unknown/mixed	primary cell			unknown/mixed	ENCODE
BSS01158	liver embryo (59 days) and embryo (80 days)	liver	Liver		#5151E7	Tissue	LIVER	59,80	unknown/mixed	tissue			embryonic	ENCODE
BSS01164	liver female embryo (101 day) and female embryo (113 days)	liver	Liver		#5151E7	Tissue	LIVER	101,113	female	tissue			embryonic	ENCODE
BSS01193	lung female embryo (120 days)	lung	Lung		#D9D2E9	Tissue	LUNG	120	female	tissue			embryonic	Roadmap 2015
BSS01190	lung female adult (30 years)	lung	Lung		#D9D2E9	Tissue	LUNG	30	female	tissue			adult	Roadmap 2015
BSS01201	lung male child (3 years)	lung	Lung		#D9D2E9	Tissue	LUNG	3	male	tissue			child	Roadmap (Novel)
BSS01870	upper lobe of left lung female adult (53 years)	upper lobe of left lung	Lung		#D9D2E9	Tissue	LUNG	53	female	tissue			adult	ENCODE
BSS01196	lung female embryo (82 days)	lung	Lung		#D9D2E9	Tissue	LUNG	82	female	tissue			embryonic	Roadmap 2015
BSS01197	lung female embryo (85 days)	lung	Lung		#D9D2E9	Tissue	LUNG	85	female	tissue			embryonic	Roadmap 2015
BSS01198	lung female embryo (96 days)	lung	Lung		#D9D2E9	Tissue	LUNG	96	female	tissue			embryonic	Roadmap 2015
BSS01137	left lung female embryo (105 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	105	female	tissue			embryonic	Roadmap (Novel)
BSS01138	left lung female embryo (107 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	107	female	tissue			embryonic	Roadmap (Novel)
BSS01139	left lung female embryo (108 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	108	female	tissue			embryonic	Roadmap (Novel)
BSS01140	left lung female embryo (110 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	110	female	tissue			embryonic	Roadmap (Novel)
BSS01141	left lung female embryo (117 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	117	female	tissue			embryonic	Roadmap (Novel)
BSS01142	left lung female embryo (91 day)	left lung	Lung		#D9D2E9	Tissue	LUNG	91	female	tissue			embryonic	Roadmap (Novel)
BSS01143	left lung female embryo (98 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	98	female	tissue			embryonic	Roadmap (Novel)
BSS01144	left lung male embryo (105 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	105	male	tissue			embryonic	Roadmap (Novel)
BSS01145	left lung male embryo (113 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	113	male	tissue			embryonic	Roadmap (Novel)
BSS01146	left lung male embryo (115 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	115	male	tissue			embryonic	Roadmap (Novel)
BSS01147	left lung male embryo (87 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	87	male	tissue			embryonic	Roadmap (Novel)
BSS01148	left lung male embryo (91 day)	left lung	Lung		#D9D2E9	Tissue	LUNG	91	male	tissue			embryonic	Roadmap (Novel)
BSS01149	left lung male embryo (96 days)	left lung	Lung		#D9D2E9	Tissue	LUNG	96	male	tissue			embryonic	Roadmap (Novel)
BSS01186	lung embryo (101 day)	lung	Lung		#D9D2E9	Tissue	LUNG	101	unknown/mixed	tissue			embryonic	Roadmap 2015
BSS01187	lung embryo (112 days)	lung	Lung		#D9D2E9	Tissue	LUNG	112	unknown/mixed	tissue			embryonic	Roadmap (Novel)
BSS01188	lung embryo (67 days)	lung	Lung		#D9D2E9	Tissue	LUNG	67	unknown/mixed	tissue			embryonic	Roadmap (Novel)
BSS01189	lung embryo (80 days) and male embryo (76 days)	lung	Lung		#D9D2E9	Tissue	LUNG	80,76	male	tissue			embryonic	ENCODE
BSS01192	lung female embryo (108 days)	lung	Lung		#D9D2E9	Tissue	LUNG	108	female	tissue			embryonic	Roadmap (Novel)
BSS01195	lung female embryo (76 days)	lung	Lung		#D9D2E9	Tissue	LUNG	76	female	tissue			embryonic	ENCODE
BSS01202	lung male embryo (103 days)	lung	Lung		#D9D2E9	Tissue	LUNG	103	male	tissue			embryonic	Roadmap (Novel)
BSS01203	lung male embryo (108 days)	lung	Lung		#D9D2E9	Tissue	LUNG	108	male	tissue			embryonic	Roadmap (Novel)
BSS01204	lung male embryo (54 days) and male embryo (58 days)	lung	Lung		#D9D2E9	Tissue	LUNG	58,54	male	tissue			embryonic	ENCODE
BSS01205	lung male embryo (82 days)	lung	Lung		#D9D2E9	Tissue	LUNG	82	male	tissue			embryonic	Roadmap (Novel)
BSS01520	right lung female embryo (105 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	105	female	tissue			embryonic	Roadmap (Novel)
BSS01521	right lung female embryo (107 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	107	female	tissue			embryonic	Roadmap (Novel)
BSS01522	right lung female embryo (108 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	108	female	tissue			embryonic	Roadmap (Novel)
BSS01523	right lung female embryo (110 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	110	female	tissue			embryonic	Roadmap (Novel)
BSS01524	right lung female embryo (117 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	117	female	tissue			embryonic	Roadmap (Novel)
BSS01525	right lung female embryo (91 day)	right lung	Lung		#D9D2E9	Tissue	LUNG	91	female	tissue			embryonic	Roadmap (Novel)
BSS01526	right lung female embryo (98 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	98	female	tissue			embryonic	Roadmap (Novel)
BSS01527	right lung male embryo (105 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	105	male	tissue			embryonic	Roadmap (Novel)
BSS01528	right lung male embryo (115 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	115	male	tissue			embryonic	Roadmap (Novel)
BSS01529	right lung male embryo (87 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	87	male	tissue			embryonic	Roadmap (Novel)
BSS01530	right lung male embryo (96 days)	right lung	Lung		#D9D2E9	Tissue	LUNG	96	male	tissue			embryonic	Roadmap (Novel)
BSS01869	upper lobe of left lung female adult (51 year)	upper lobe of left lung	Lung		#D9D2E9	Tissue	LUNG	51	female	tissue			adult	ENCODE
BSS01871	upper lobe of left lung male adult (37 years)	upper lobe of left lung	Lung		#D9D2E9	Tissue	LUNG	37	male	tissue			adult	ENCODE
BSS00039	adipocyte originated from mesenchymal stem cell	adipocyte	Mesench	Adipose	#B65C73	Tissue	ADIPOCYTE FROM MSC	41,59	female	in vitro differentiated cells			adult	Roadmap 2015
BSS01260	mesenchymal stem cell originated from adipose tissue	mesenchymal stem cell	Mesench		#B65C73	Tissue	MESENCHYMAL STEM CELL	41,59,unknown	female	in vitro differentiated cells			adult	Roadmap 2015
BSS00250	dedifferentiated amniotic fluid mesenchymal stem cell male embryo (15 weeks)	dedifferentiated amniotic fluid mesenchymal stem cell	Mesench		#B65C73	Tissue	AMNIOTIC FLUID FROM MSC	15	male	primary cell			embryonic	ENCODE
BSS00279	embryonic facial prominence embryo (53 days) and embryo (58 days)	embryonic facial prominence	Mesench		#B65C73	Tissue	EMBRYONIC FACIAL PROMINENCE	58,53	unknown/mixed	tissue			embryonic	ENCODE
BSS00378	gastrocnemius medialis male adult (37 years)	gastrocnemius medialis	Muscle		#C2655D	Tissue	GASTROCNEMIUS MEDIALIS	37	male	tissue			adult	ENCODE
BSS00379	gastrocnemius medialis male adult (54 years)	gastrocnemius medialis	Muscle		#C2655D	Tissue	GASTROCNEMIUS MEDIALIS	54	male	tissue			adult	ENCODE
BSS00377	gastrocnemius medialis female adult (53 years)	gastrocnemius medialis	Muscle		#C2655D	Tissue	GASTROCNEMIUS MEDIALIS	53	female	tissue			adult	ENCODE
BSS01463	psoas muscle male child (3 years)	psoas muscle	Muscle		#C2655D	Tissue	PSOAS MUSCLE	3	male	tissue			child	Roadmap 2015
BSS01578	skeletal muscle tissue female adult (72 years)	skeletal muscle tissue	Muscle		#C2655D	Tissue	SKELETAL MUSCLE	72	female	tissue			adult	Roadmap 2015
BSS01319	muscle of leg female embryo (110 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	110	female	tissue			embryonic	Roadmap 2015
BSS01332	muscle of trunk female embryo (115 days)	muscle of trunk	Muscle		#C2655D	Tissue	TRUNK MUSCLE	115	female	tissue			embryonic	Roadmap 2015
BSS01577	skeletal muscle tissue	skeletal muscle tissue	Muscle		#C2655D	Tissue	SKELETAL MUSCLE	unknown	unknown/mixed	tissue			unknown/mixed	Roadmap (Novel)
BSS01581	skeletal muscle tissue male adult (54 years)	skeletal muscle tissue	Muscle		#C2655D	Tissue	SKELETAL MUSCLE	54	male	tissue			adult	Roadmap 2015
BSS01462	psoas muscle male adult (34 years)	psoas muscle	Muscle		#C2655D	Tissue	PSOAS MUSCLE	34	male	tissue			adult	Roadmap 2015
BSS00170	cardiac muscle cell	cardiac muscle cell	Muscle		#C2655D	Tissue	CARDIAC MYOCYTE	unknown	unknown/mixed	primary cell			unknown/mixed	ENCODE
BSS00376	gastrocnemius medialis female adult (51 year)	gastrocnemius medialis	Muscle		#C2655D	Tissue	GASTROCNEMIUS MEDIALIS	51	female	tissue			adult	ENCODE
BSS01572	skeletal muscle cell	skeletal muscle cell	Muscle		#C2655D	Tissue	SKELETAL MUSCLE CELL	unknown	unknown/mixed	primary cell			unknown/mixed	ENCODE
BSS00352	forelimb muscle female embryo (108 days)	forelimb muscle	Muscle		#C2655D	Tissue	ARM MUSCLE	108	female	tissue			embryonic	Roadmap (Novel)
BSS00700	hindlimb muscle male embryo (120 days)	hindlimb muscle	Muscle		#C2655D	Tissue	LEG MUSCLE	120	male	tissue			embryonic	Roadmap (Novel)
BSS01289	muscle of arm embryo (101 day)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	101	unknown/mixed	tissue			embryonic	Roadmap (Novel)
BSS01290	muscle of arm female embryo (105 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	105	female	tissue			embryonic	Roadmap (Novel)
BSS01291	muscle of arm female embryo (115 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	115	female	tissue			embryonic	Roadmap (Novel)
BSS01292	muscle of arm female embryo (120 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	120	female	tissue			embryonic	Roadmap (Novel)
BSS01293	muscle of arm female embryo (85 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	85	female	tissue			embryonic	Roadmap (Novel)
BSS01294	muscle of arm female embryo (98 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	98	female	tissue			embryonic	Roadmap (Novel)
BSS01295	muscle of arm male embryo (101 day)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	101	male	tissue			embryonic	Roadmap (Novel)
BSS01296	muscle of arm male embryo (104 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	104	male	tissue			embryonic	Roadmap (Novel)
BSS01297	muscle of arm male embryo (105 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	105	male	tissue			embryonic	Roadmap (Novel)
BSS01298	muscle of arm male embryo (113 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	113	male	tissue			embryonic	Roadmap (Novel)
BSS01299	muscle of arm male embryo (115 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	115	male	tissue			embryonic	Roadmap (Novel)
BSS01300	muscle of arm male embryo (120 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	120	male	tissue			embryonic	Roadmap (Novel)
BSS01301	muscle of arm male embryo (127 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	127	male	tissue			embryonic	Roadmap (Novel)
BSS01303	muscle of arm male embryo (96 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	96	male	tissue			embryonic	Roadmap (Novel)
BSS01304	muscle of arm male embryo (97 days)	muscle of arm	Muscle		#C2655D	Tissue	ARM MUSCLE	97	male	tissue			embryonic	Roadmap (Novel)
BSS01305	muscle of back female embryo (105 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	105	female	tissue			embryonic	Roadmap (Novel)
BSS01306	muscle of back female embryo (113 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	113	female	tissue			embryonic	Roadmap (Novel)
BSS01307	muscle of back female embryo (115 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	115	female	tissue			embryonic	Roadmap (Novel)
BSS01308	muscle of back female embryo (85 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	85	female	tissue			embryonic	Roadmap (Novel)
BSS01309	muscle of back female embryo (98 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	98	female	tissue			embryonic	Roadmap (Novel)
BSS01310	muscle of back male embryo (101 day)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	101	male	tissue			embryonic	Roadmap (Novel)
BSS01311	muscle of back male embryo (104 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	104	male	tissue			embryonic	Roadmap (Novel)
BSS01312	muscle of back male embryo (105 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	105	male	tissue			embryonic	Roadmap (Novel)
BSS01313	muscle of back male embryo (108 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	108	male	tissue			embryonic	Roadmap (Novel)
BSS01314	muscle of back male embryo (127 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	127	male	tissue			embryonic	Roadmap (Novel)
BSS01315	muscle of back male embryo (91 day)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	91	male	tissue			embryonic	Roadmap (Novel)
BSS01316	muscle of back male embryo (96 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	96	male	tissue			embryonic	Roadmap (Novel)
BSS01317	muscle of back male embryo (97 days)	muscle of back	Muscle		#C2655D	Tissue	BACK MUSCLE	97	male	tissue			embryonic	Roadmap (Novel)
BSS01318	muscle of leg female embryo (105 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	105	female	tissue			embryonic	Roadmap (Novel)
BSS01320	muscle of leg female embryo (113 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	113	female	tissue			embryonic	Roadmap 2015
BSS01321	muscle of leg female embryo (115 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	115	female	tissue			embryonic	Roadmap 2015
BSS01322	muscle of leg female embryo (85 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	85	female	tissue			embryonic	Roadmap (Novel)
BSS01323	muscle of leg male embryo (101 day)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	101	male	tissue			embryonic	Roadmap 2015
BSS01324	muscle of leg male embryo (104 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	104	male	tissue			embryonic	Roadmap 2015
BSS01325	muscle of leg male embryo (105 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	105	male	tissue			embryonic	Roadmap 2015
BSS01327	muscle of leg male embryo (115 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	115	male	tissue			embryonic	Roadmap 2015
BSS01328	muscle of leg male embryo (127 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	127	male	tissue			embryonic	Roadmap 2015
BSS01329	muscle of leg male embryo (96 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	96	male	tissue			embryonic	Roadmap 2015
BSS01330	muscle of leg male embryo (97 days)	muscle of leg	Muscle		#C2655D	Tissue	LEG MUSCLE	97	male	tissue			embryonic	Roadmap 2015
BSS01331	muscle of trunk female embryo (113 days)	muscle of trunk	Muscle		#C2655D	Tissue	TRUNK MUSCLE	113	female	tissue			embryonic	Roadmap 2015
BSS01333	muscle of trunk female embryo (120 days)	muscle of trunk	Muscle		#C2655D	Tissue	TRUNK MUSCLE	120	female	tissue			embryonic	Roadmap 2015
BSS01334	muscle of trunk female embryo (121 day)	muscle of trunk	Muscle		#C2655D	Tissue	TRUNK MUSCLE	121	female	tissue			embryonic	Roadmap 2015
BSS01460	psoas muscle female adult (30 years)	psoas muscle	Muscle		#C2655D	Tissue	PSOAS MUSCLE	30	female	tissue			adult	Roadmap (Novel)
BSS01461	psoas muscle male adult (27 years) and male adult (35 years)	psoas muscle	Muscle		#C2655D	Tissue	PSOAS MUSCLE	27,35	male	tissue			adult	ENCODE
BSS01845	tongue female embryo (59 days) and female embryo (76 days)	tongue	Muscle		#C2655D	Tissue	TONGUE	76,59	female	tissue			embryonic	ENCODE
BSS01846	tongue male embryo (72 days)	tongue	Muscle		#C2655D	Tissue	TONGUE	72	male	tissue			embryonic	ENCODE
BSS01344	myotube originated from skeletal muscle myoblast	myotube	Myosat		#E67326	Tissue	MYOTUBE	22	male	in vitro differentiated cells			adult	ENCODE 2012
BSS01574	skeletal muscle myoblast male adult (22 years)	skeletal muscle myoblast	Myosat		#E67326	Tissue	SKELETAL MUSCLE MYOBLAST	22	male	primary cell			adult	ENCODE 2012
BSS01576	skeletal muscle satellite cell female adult originated from mesodermal cell	skeletal muscle satellite cell	Myosat		#E67326	Tissue	SKELETAL MUSCLE SATELLITE CELL	unknown	female	primary cell			adult	Roadmap 2015
BSS01155	LHCN-M2	LHCN-M2	Myosat		#E67326	Tissue	SKELETAL MUSCLE MYOBLAST	41	male	cell line			adult	ENCODE
BSS01338	myocyte originated from LHCN-M2	myocyte	Myosat		#E67326	Tissue	MYOCYTE	41	male	in vitro differentiated cells			adult	ENCODE
BSS01573	skeletal muscle myoblast	skeletal muscle myoblast	Myosat		#E67326	Tissue	SKELETAL MUSCLE MYOBLAST	unknown	unknown/mixed	primary cell			unknown/mixed	ENCODE 2012
BSS00123	body of pancreas male adult (37 years)	body of pancreas	Pancreas		#87A3E1	Tissue	BODY OF PANCREAS	37	male	tissue			adult	ENCODE
BSS00124	body of pancreas male adult (54 years)	body of pancreas	Pancreas		#87A3E1	Tissue	BODY OF PANCREAS	54	male	tissue			adult	ENCODE
BSS01406	pancreas female adult (30 years)	pancreas	Pancreas		#87A3E1	Tissue	PANCREAS	30	female	tissue			adult	Roadmap (Novel)
BSS01407	pancreas male adult (34 years)	pancreas	Pancreas		#87A3E1	Tissue	PANCREAS	34	male	tissue			adult	Roadmap 2015
BSS00122	body of pancreas female adult (53 years)	body of pancreas	Pancreas		#87A3E1	Tissue	BODY OF PANCREAS	53	female	tissue			adult	ENCODE
BSS00121	body of pancreas female adult (51 year)	body of pancreas	Pancreas		#87A3E1	Tissue	BODY OF PANCREAS	51	female	tissue			adult	ENCODE
BSS00758	islet precursor cell	islet precursor cell	Pancreas		#87A3E1	Tissue	ISLET PRECURSOR CELL	5	female	in vitro differentiated cells			embryonic	ENCODE
BSS01438	placenta female embryo (113 days)	placenta	Placenta & EEM		#E10000	Tissue	PLACENTA	113	female	tissue			embryonic	Roadmap 2015
BSS00074	amnion male embryo (16 weeks)	amnion	Placenta & EEM		#E10000	Tissue	AMNION	16	male	tissue			embryonic	Roadmap 2015
BSS00214	chorionic villus embryo (16 weeks)	chorionic villus	Placenta & EEM		#E10000	Tissue	CHORIONIC VILLUS	16	unknown/mixed	tissue			embryonic	Roadmap (Novel)
BSS00215	chorionic villus female embryo (40 weeks)	chorionic villus	Placenta & EEM		#E10000	Tissue	CHORIONIC VILLUS	40	female	tissue			embryonic	Roadmap (Novel)
BSS00216	chorionic villus male embryo (16 weeks)	chorionic villus	Placenta & EEM		#E10000	Tissue	CHORIONIC VILLUS	16	male	tissue			embryonic	Roadmap (Novel)
BSS00217	chorionic villus male embryo (38 weeks)	chorionic villus	Placenta & EEM		#E10000	Tissue	CHORIONIC VILLUS	38	male	tissue			embryonic	Roadmap (Novel)
BSS01431	placenta embryo (16 weeks)	placenta	Placenta & EEM		#E10000	Tissue	PLACENTA	16	unknown/mixed	tissue			embryonic	Roadmap (Novel)
BSS01441	placenta male embryo (16 weeks)	placenta	Placenta & EEM		#E10000	Tissue	PLACENTA	16	male	tissue			embryonic	Roadmap (Novel)
BSS01446	placental basal plate female embryo (40 weeks)	placental basal plate	Placenta & EEM		#E10000	Tissue	PLACENTA	40	female	tissue			embryonic	Roadmap (Novel)
BSS00211	chorion female embryo (40 weeks)	chorion	Placenta & EEM		#E10000	Tissue	CHORION	40	female	tissue			embryonic	Roadmap (Novel)
BSS00212	chorion male embryo (16 weeks)	chorion	Placenta & EEM		#E10000	Tissue	CHORION	16	male	tissue			embryonic	Roadmap (Novel)
BSS01859	trophoblast female embryo (20 weeks)	trophoblast	Placenta & EEM		#E10000	Tissue	TROPHOBLAST	20	female	tissue			embryonic	Roadmap (Novel)
BSS01860	trophoblast female embryo (40 weeks)	trophoblast	Placenta & EEM		#E10000	Tissue	TROPHOBLAST	40	female	tissue			embryonic	Roadmap (Novel)
BSS01448	placental basal plate male embryo (38 weeks)	placental basal plate	Placenta & EEM		#E10000	Tissue	PLACENTA	38	male	tissue			embryonic	Roadmap (Novel)
BSS00076	amniotic stem cell male embryo (15 weeks)	amniotic stem cell	Placenta & EEM		#E10000	Tissue	AMNION STEM CELL	15	male	primary cell			embryonic	ENCODE
BSS00209	chorion	chorion	Placenta & EEM		#E10000	Tissue	CHORION	unknown	unknown/mixed	tissue			unknown/mixed	ENCODE
